italian,vulgar_latin
abbacchiare,abbaclare
abbattere,abbatto
abbeverare,abbiberare
abbracciare,adbracchiare
abbrustolire,brustulare
acca,acca
accasciare,adquassiare
accogliere,accolligere
accorciare,adcurtiare
accordare,accordare
acquistare,acquisito
adesso,ad ipsum
adocchiare,adoclare
adusare,adusare
afferrare,adferrare
affogare,affocare
affondare,affundare
affrontare,affrontare
affumare,affumare
agire,agire
agognare,agoniare
agosto,agustus
agro,acrus
agrume,acrumen
agucchia,acucla
agurare,agurare
aguzzare,acutiare
alba,alba
albaspina,albispina
albastrello,albaster
albero,albarus
alcuno,alicunus
allattare,allactare
allievo,allevus
allodola,alaudula
alluminare,alluminare
allungare,allongare
alma,alima
alzaia,helciaria
alzare,altiare
amarezza,amaritia
ambiare,amblare
ammainare,invaginare
ammazzare,mactiare
ammiccare,admicare
ammortire,admortire
amoroso,amorosus
anatra,anatria
anca,hanca
ancora,ancora
andare,anditare
annaffiare,inafflare
annata,annata
annegare,adnecare
annegato,adnecato
apparecchiare,appariclare
appoggiare,appodiare
appresso,adpressum
aragosta,lacusta
ardere,ardere
arginare,arger
argine,arger
arpione,harpigo
arrestare,arrestare
arrivare,arripare
artefatto,artefacto
ascella,axella
assicurare,assecuro
assomigliare,assimiliare
attizzare,attitiare
attortigliare,tortiliare
attrezzare,attrectio
attutare,attutare
aulire,aulere
avanzare,abanteare
avuto,habutus
avverare,adverare
avvezzare,advitiare
avvinghiare,vinclare
avvoltore,vultor
bacchetta,baclitta
bacchio,baclum
bacino,bacinus
bacio,opacivus
bagnare,baneare
bagno,baneum
bandire,bannire
barbuto,barbutus
barra,barra
barricare,barrica
bastare,basto
batacchio,bataclum
bava,baba
befana,epiphania
bellezza,bellitia
benvenuto,bene venutus
bestemmia,blastemia
bestemmiare,blastemare
bianco,blancus
biasciare,blaesare
bifolco,bufulcus
biforcare,bifurcare
bigio,bysseus
binare,bino
biodo,budula
bisbetico,amphisbeticus
biscia,bistia
bisogno,bisonium
boaro,bovarius
boccia,buttia
bonaccia,bonacia
bossolo,buxulus
bozza,bottia
bravo,bravus
brillare,berillare
bruciare,brusiare
bruscare,brusicare
budello,butellus
bue,boem
cacca,cacca
cacchio,caclus
cadenza,cadentia
cadere,cadere
caduto,cadutus
cagionare,occasionare
cagliare,coaglare
caglio,coaglum
caldura,caldura
calza,calcea
cambiare,cambiare
